Datetime,TAVG
1/1/2012,43.5
1/2/2012,26
1/3/2012,21
1/4/2012,28.5
1/5/2012,36.5
1/6/2012,49.5
1/7/2012,44.5
1/8/2012,37
1/9/2012,42
1/10/2012,41
1/11/2012,43
1/12/2012,30.5
1/13/2012,17.5
1/14/2012,23.5
1/15/2012,21.5
1/16/2012,40
1/17/2012,44.5
1/18/2012,27
1/19/2012,29.5
1/20/2012,22.5
1/21/2012,27
1/22/2012,39.5
1/23/2012,48.5
1/24/2012,34
1/25/2012,33
1/26/2012,43
1/27/2012,37.5
1/28/2012,35.5
1/29/2012,35
1/30/2012,38.5
1/31/2012,53.5
2/1/2012,54
2/2/2012,44.5
2/3/2012,44
2/4/2012,43
2/5/2012,40
2/6/2012,36.5
2/7/2012,33.5
2/8/2012,33.5
2/9/2012,32
2/10/2012,30
2/11/2012,23
2/12/2012,24
2/13/2012,25.5
2/14/2012,34
2/15/2012,40.5
2/16/2012,43.5
2/17/2012,39
2/18/2012,39.5
2/19/2012,33
2/20/2012,32
2/21/2012,41
2/22/2012,46.5
2/23/2012,44.5
2/24/2012,41.5
2/25/2012,29.5
2/26/2012,36
2/27/2012,45.5
2/28/2012,43.5
2/29/2012,58
3/1/2012,46
3/2/2012,50.5
3/3/2012,39
3/4/2012,33.5
3/5/2012,31.5
3/6/2012,43.5
3/7/2012,55.5
3/8/2012,48.5
3/9/2012,39.5
3/10/2012,40.5
3/11/2012,52
3/12/2012,58
3/13/2012,65
3/14/2012,62.5
3/15/2012,66.5
3/16/2012,60.5
3/17/2012,64.5
3/18/2012,68
3/19/2012,69.5
3/20/2012,72.5
3/21/2012,72.5
3/22/2012,71.5
3/23/2012,62.5
3/24/2012,56
3/25/2012,56.5
3/26/2012,49
3/27/2012,49.5
3/28/2012,63.5
3/29/2012,54
3/30/2012,62.5
3/31/2012,50.5
4/1/2012,56.5
4/2/2012,58
4/3/2012,67.5
4/4/2012,63.5
4/5/2012,50.5
4/6/2012,47.5
4/7/2012,51.5
4/8/2012,54
4/9/2012,52
4/10/2012,45
4/11/2012,41
4/12/2012,45
4/13/2012,50
4/14/2012,57
4/15/2012,68.5
4/16/2012,60.5
4/17/2012,54
4/18/2012,56.5
4/19/2012,57
4/20/2012,61.5
4/21/2012,44.5
4/22/2012,44
4/23/2012,48.5
4/24/2012,50
4/25/2012,60
4/26/2012,59
4/27/2012,49.5
4/28/2012,47.5
4/29/2012,55
4/30/2012,69
5/1/2012,70
5/2/2012,74
5/3/2012,74
5/4/2012,71.5
5/5/2012,71.5
5/6/2012,72.5
5/7/2012,72
5/8/2012,64
5/9/2012,61.5
5/10/2012,56
5/11/2012,61.5
5/12/2012,61.5
5/13/2012,60
5/14/2012,65.5
5/15/2012,66
5/16/2012,69.5
5/17/2012,62.5
5/18/2012,66
5/19/2012,71.5
5/20/2012,72.5
5/21/2012,71.5
5/22/2012,65.5
5/23/2012,66.5
5/24/2012,70.5
5/25/2012,77
5/26/2012,78
5/27/2012,78
5/28/2012,79.5
5/29/2012,72.5
5/30/2012,70
5/31/2012,66.5
6/1/2012,58
